paper_id,title,year,journal,body_chars,references,figures,tables,equations,quality_score,needs_review,output
001-A-heat-flux-distribution-prediction-method-for-hyperson_2025_Aerospace-Scien,A heat flux distribution prediction method for hypersonic flight vehicle along trajectory based on POD and TSCN,2025,Aerospace Scien,47330,37,13,7,156,1.0,False,801\深度拆解_校验版_20260527\papers\001-A-heat-flux-distribution-prediction-method-for-hyperson_2025_Aerospace-Scien.md
002-A-kernel-ridge-regression-combining-nonlinear-ROMs-for-_2025_Aerospace-Scien,A kernel ridge regression combining nonlinear ROMs for accurate flow-field reconstruction with discontinuities,2025,Aerospace Scien,49354,36,56,3,147,1.0,False,801\深度拆解_校验版_20260527\papers\002-A-kernel-ridge-regression-combining-nonlinear-ROMs-for-_2025_Aerospace-Scien.md
003-A-mesomechanical-model-for-predicting-the-degradation-in-stiff_2016_Material,A mesomechanical model for predicting the degradation in stiffness of FRP composites subjected to combined thermal and mechanical loading,2016,Material,28620,36,11,2,50,1.0,False,801\深度拆解_校验版_20260527\papers\003-A-mesomechanical-model-for-predicting-the-degradation-in-stiff_2016_Material.md
004-A-multi-scale-uncertainty-quantification-model-encompassing-m_2025_Composite,A multi-scale uncertainty quantification model encompassing minimum-size unit cells for effective properties of plain woven composites,2025,Composite,73458,46,24,14,435,0.93,False,801\深度拆解_校验版_20260527\papers\004-A-multi-scale-uncertainty-quantification-model-encompassing-m_2025_Composite.md
005-A-multidisciplinary-design-optimization-method-for-cross-_2026_Aerospace-Sci,A multidisciplinary design optimization method for cross-domain vehicles based on distributed-centralized augmented Lagrangian coordination,2026,Aerospace Sci,62929,38,18,7,260,1.0,False,801\深度拆解_校验版_20260527\papers\005-A-multidisciplinary-design-optimization-method-for-cross-_2026_Aerospace-Sci.md
006-A-novel-hybrid-time-variant-reliability-analysis-metho_2024_Probabilistic-En,A novel hybrid time-variant reliability analysis method through approximating bound-most-probable point trajectory,2024,Probabilistic En,69015,47,13,11,326,1.0,False,801\深度拆解_校验版_20260527\papers\006-A-novel-hybrid-time-variant-reliability-analysis-metho_2024_Probabilistic-En.md
007-A-novel-mechanical-thermal-electrical-thermal-protection-syste_2021_Composit,007-A-novel-mechanical-thermal-electrical-thermal-protection-syste_2021_Composit,2021,Composit,58038,50,16,6,73,0.93,False,801\深度拆解_校验版_20260527\papers\007-A-novel-mechanical-thermal-electrical-thermal-protection-syste_2021_Composit.md
008-A-novel-TE-material-based-thermal-protection-structure-_2018_Aerospace-Scien,008-A-novel-TE-material-based-thermal-protection-structure-_2018_Aerospace-Scien,2018,Aerospace Scien,47862,40,16,3,185,1.0,False,801\深度拆解_校验版_20260527\papers\008-A-novel-TE-material-based-thermal-protection-structure-_2018_Aerospace-Scien.md
009-A-sequential-surrogate-method-for-reliability-analysis-base_2018_Structural,009-A-sequential-surrogate-method-for-reliability-analysis-base_2018_Structural,2018,Structural,37071,54,14,15,118,1.0,False,801\深度拆解_校验版_20260527\papers\009-A-sequential-surrogate-method-for-reliability-analysis-base_2018_Structural.md
010-A-solar-radiant-heating-apparatus-for-measuring-the-thermal_2016_Applied-The,010-A-solar-radiant-heating-apparatus-for-measuring-the-thermal_2016_Applied-The,2016,Applied The,25244,31,11,0,27,1.0,False,801\深度拆解_校验版_20260527\papers\010-A-solar-radiant-heating-apparatus-for-measuring-the-thermal_2016_Applied-The.md
011-A-sparse-reconstruction-method-of-physical-field-via_2025_Aerospace-Science,A sparse reconstruction method of physical field via multi-source sensors for flight vehicle,2025,Aerospace Science,42099,47,22,5,134,1.0,False,801\深度拆解_校验版_20260527\papers\011-A-sparse-reconstruction-method-of-physical-field-via_2025_Aerospace-Science.md
012-A-structural-damage-identification-model-with-finite-t_2025_Aerospace-Scienc,A structural damage identification model with finite thermomechanical sensors of the re-entry module,2025,Aerospace Scienc,72625,44,14,21,213,1.0,False,801\深度拆解_校验版_20260527\papers\012-A-structural-damage-identification-model-with-finite-t_2025_Aerospace-Scienc.md
013-A-study-of-interfacial-electrical-contact-resistances-of-th_2022_Aerospace-S,013-A-study-of-interfacial-electrical-contact-resistances-of-th_2022_Aerospace-S,2022,Aerospace S,62079,48,21,5,170,0.93,False,801\深度拆解_校验版_20260527\papers\013-A-study-of-interfacial-electrical-contact-resistances-of-th_2022_Aerospace-S.md
014-A-study-of-morphing-aircraft-on-morphing-rules-a_2021_Chinese-Journal-of-Aer,014-A-study-of-morphing-aircraft-on-morphing-rules-a_2021_Chinese-Journal-of-Aer,2021,Chinese Journal of Aer,29803,42,0,6,42,0.93,False,801\深度拆解_校验版_20260527\papers\014-A-study-of-morphing-aircraft-on-morphing-rules-a_2021_Chinese-Journal-of-Aer.md
015-A-thermal-contact-model-encompassing-near-field-e_2023_International-Journal,A thermal contact model encompassing near-field effects of multi-interface TEGs in hypersonic conditions,2023,International Journal,69879,48,24,6,222,0.93,False,801\深度拆解_校验版_20260527\papers\015-A-thermal-contact-model-encompassing-near-field-e_2023_International-Journal.md
016-A-three-stage-sequential-convex-programming-approa_2024_Aerospace-Science-an,A three-stage sequential convex programming approach for trajectory optimization,2024,Aerospace Science an,56428,33,15,6,316,1.0,False,801\深度拆解_校验版_20260527\papers\016-A-three-stage-sequential-convex-programming-approa_2024_Aerospace-Science-an.md
017-Adaptive-path-following-control-for-miniature-unmanned-aerial-v_2023_ISA-Tra,Adaptive path following control for miniature unmanned aerial vehicle confined to three-dimensional Dubins path: From take-off to landing,2023,ISA Tra,42347,31,19,6,203,0.96,False,801\深度拆解_校验版_20260527\papers\017-Adaptive-path-following-control-for-miniature-unmanned-aerial-v_2023_ISA-Tra.md
018-Aerodynamic-and-angular-motion-characteristics-of-a-fixed_2025_Chinese-Journ,Aerodynamic and angular motion characteristics of a fixed-canard dual-spin projectile under different forebody spinning rates,2025,Chinese Journ,31771,38,0,8,75,0.93,False,801\深度拆解_校验版_20260527\papers\018-Aerodynamic-and-angular-motion-characteristics-of-a-fixed_2025_Chinese-Journ.md
019-An-approach-for-stress-analysis-of-corrugated-core-integrated_2018_Composite,An approach for stress analysis of corrugated-core integrated thermal protection system under thermal and mechanical environment,2018,Composite,78933,14,36,1,454,1.0,False,801\深度拆解_校验版_20260527\papers\019-An-approach-for-stress-analysis-of-corrugated-core-integrated_2018_Composite.md
020-An-efficient-implementation-of-aeroelastic-tailoring-bas_2019_Journal-of-Flu,020-An-efficient-implementation-of-aeroelastic-tailoring-bas_2019_Journal-of-Flu,2019,Journal of Flu,52491,53,13,4,189,1.0,False,801\深度拆解_校验版_20260527\papers\020-An-efficient-implementation-of-aeroelastic-tailoring-bas_2019_Journal-of-Flu.md
021-An-efficient-multi-layer-TEG-with-thermal-electrical-_2025_Applied-Thermal-E,An efficient multi-layer TEG with thermal-electrical interfaces for Mars rover RTGs,2025,Applied Thermal E,68354,53,23,15,176,0.93,False,801\深度拆解_校验版_20260527\papers\021-An-efficient-multi-layer-TEG-with-thermal-electrical-_2025_Applied-Thermal-E.md
022-An-efficient-thermal-optimization-model-with-integrated-fo_2025_Aerospace-Sc,"An efficient thermal optimization model with integrated force paths, fully-decomposed hierarchies and hybrid genetic operations for a flight wing",2025,Aerospace Sc,56494,43,15,5,101,0.93,False,801\深度拆解_校验版_20260527\papers\022-An-efficient-thermal-optimization-model-with-integrated-fo_2025_Aerospace-Sc.md
023-An-efficient-uncertainty-propagation-method-for-nonline_2024_Chinese-Journal,An efficient uncertainty propagation method for nonlinear dynamics with distribution-free P-box processes,2024,Chinese Journal,81033,64,0,7,349,0.93,False,801\深度拆解_校验版_20260527\papers\023-An-efficient-uncertainty-propagation-method-for-nonline_2024_Chinese-Journal.md
024-An-enhanced-temperature-field-inversion-model-_2025_International-Communicat,An enhanced temperature field inversion model by POD-BPNN-GA method for a 3D wing with limited sensors,2025,International Communicat,65960,65,21,9,171,1.0,False,801\深度拆解_校验版_20260527\papers\024-An-enhanced-temperature-field-inversion-model-_2025_International-Communicat.md
025-An-integrated-optimization-method-of-multi-hierarchy-va_2024_Aerospace-Scien,An integrated optimization method of multi-hierarchy variables for rudder structures with radial force transfer paths,2024,Aerospace Scien,45817,38,20,0,104,0.96,False,801\深度拆解_校验版_20260527\papers\025-An-integrated-optimization-method-of-multi-hierarchy-va_2024_Aerospace-Scien.md
026-An-inter-scale-stiffness-propagation-method-with-_2026_Computer-Methods-in-A,An inter-scale stiffness propagation method with nonintrusive modeling of stochastic porosity in unidirectional composites,2026,Computer Methods in A,70902,55,24,11,286,1.0,False,801\深度拆解_校验版_20260527\papers\026-An-inter-scale-stiffness-propagation-method-with-_2026_Computer-Methods-in-A.md
027-Appropriate-utilization-of-the-unit-cell-method-in-th_2018_Applied-Thermal-E,Appropriate utilization of the unit cell method in thermal calculation of composites,2018,Applied Thermal E,40542,36,11,8,198,1.0,False,801\深度拆解_校验版_20260527\papers\027-Appropriate-utilization-of-the-unit-cell-method-in-th_2018_Applied-Thermal-E.md
028-Enhancing-thermoelectric-performance-of-a-high-entropy_2026_Journal-of-the-E,Enhancing thermoelectric performance of a high-entropy titanate ceramic via multi-mechanism synergism driven by graphene oxide,2026,Journal of the E,45265,77,5,2,87,1.0,False,801\深度拆解_校验版_20260527\papers\028-Enhancing-thermoelectric-performance-of-a-high-entropy_2026_Journal-of-the-E.md
029-Fabrication-and-thermoelectric-properties-of-Ca-Co-O-cerami_2018_Results-in,Fabrication and thermoelectric properties of Ca-Co-O ceramics with negative Seebeck coefficient,2018,Results in,19360,30,9,3,73,0.97,False,801\深度拆解_校验版_20260527\papers\029-Fabrication-and-thermoelectric-properties-of-Ca-Co-O-cerami_2018_Results-in.md
030-Flow-sensing-method-for-fluid-structure-interaction-sy_2024_Journal-of-Fluid,Flow sensing method for fluid-structure interaction systems via multilayer proper orthogonal decomposition,2024,Journal of Fluid,66707,47,55,4,230,1.0,False,801\深度拆解_校验版_20260527\papers\030-Flow-sensing-method-for-fluid-structure-interaction-sy_2024_Journal-of-Fluid.md
031-Fluid-structure-interaction-of-a-vegetation-canop_2022_Journal-of-Fluids-and,031-Fluid-structure-interaction-of-a-vegetation-canop_2022_Journal-of-Fluids-and,2022,Journal of Fluids and,79247,52,18,1,139,1.0,False,801\深度拆解_校验版_20260527\papers\031-Fluid-structure-interaction-of-a-vegetation-canop_2022_Journal-of-Fluids-and.md
032-High-fidelity-modeling-of-unsteady-aerodynamic-loads-und_2026_Aerospace-Scie,High-fidelity modeling of unsteady aerodynamic loads under structural vibration using dual modal spaces and LSTM networks,2026,Aerospace Scie,55202,39,42,7,175,1.0,False,801\深度拆解_校验版_20260527\papers\032-High-fidelity-modeling-of-unsteady-aerodynamic-loads-und_2026_Aerospace-Scie.md
033-hp-Adaptive-RPD-based-sequential-convex-programming-_2022_Aerospace-Science,033-hp-Adaptive-RPD-based-sequential-convex-programming-_2022_Aerospace-Science,2022,Aerospace Science,54990,37,13,5,272,1.0,False,801\深度拆解_校验版_20260527\papers\033-hp-Adaptive-RPD-based-sequential-convex-programming-_2022_Aerospace-Science.md
034-Microstructure-and-thermoelectric-properties-of-non-equim_2024_Journal-of-Al,Microstructure and thermoelectric properties of non-equimolar high-entropy [Ca(1- x )/3Sr(1- x )/3Ba(1- x )/3La x ]TiO3 perovskite ceramics,2024,Journal of Al,33717,74,13,5,106,1.0,False,801\深度拆解_校验版_20260527\papers\034-Microstructure-and-thermoelectric-properties-of-non-equim_2024_Journal-of-Al.md
035-Multidisciplinary-uncertainty-propagation-method-cons_2025_Probabilistic-Eng,Multidisciplinary uncertainty propagation method considering correlated field variables for rocket systems,2025,Probabilistic Eng,38115,28,14,8,221,1.0,False,801\深度拆解_校验版_20260527\papers\035-Multidisciplinary-uncertainty-propagation-method-cons_2025_Probabilistic-Eng.md
036-Numerical-investigation-of-the-effects-of-different-para_2019_Aerospace-Scie,036-Numerical-investigation-of-the-effects-of-different-para_2019_Aerospace-Scie,2019,Aerospace Scie,44847,57,23,5,84,1.0,False,801\深度拆解_校验版_20260527\papers\036-Numerical-investigation-of-the-effects-of-different-para_2019_Aerospace-Scie.md
037-Real-time-reconstruction-of-thermal-fields-from-sp_2026_International-Journa,Real-time reconstruction of thermal fields from sparse sensors with a tensorized Fourier neural operator,2026,International Journa,75018,32,29,16,142,1.0,False,801\深度拆解_校验版_20260527\papers\037-Real-time-reconstruction-of-thermal-fields-from-sp_2026_International-Journa.md
038-The-design-of-thermal-management-system-for-hypersonic-l_2019_Applied-Therma,The design of thermal management system for hypersonic launch vehicles based on active cooling networks,2019,Applied Therma,53363,45,17,6,162,1.0,False,801\深度拆解_校验版_20260527\papers\038-The-design-of-thermal-management-system-for-hypersonic-l_2019_Applied-Therma.md
039-The-determination-of-physical-dimensions-of-a-hypersonic_2023_Aerospace-Scie,039-The-determination-of-physical-dimensions-of-a-hypersonic_2023_Aerospace-Scie,2023,Aerospace Scie,42691,35,23,7,26,1.0,False,801\深度拆解_校验版_20260527\papers\039-The-determination-of-physical-dimensions-of-a-hypersonic_2023_Aerospace-Scie.md
040-The-heat-dissipation-transport-and-reuse-management-for-_2021_Aerospace-Sci,040-The-heat-dissipation-transport-and-reuse-management-for-_2021_Aerospace-Sci,2021,Aerospace Sci,84112,58,18,10,272,1.0,False,801\深度拆解_校验版_20260527\papers\040-The-heat-dissipation-transport-and-reuse-management-for-_2021_Aerospace-Sci.md
041-The-innovation-of-an-aerodynamic-heat-harvest-TEG-consider_2025_Applied-Ther,The innovation of an aerodynamic-heat-harvest TEG considering multi-interface contact effect for a high-speed flight vehicle,2025,Applied Ther,46564,48,20,14,113,0.93,False,801\深度拆解_校验版_20260527\papers\041-The-innovation-of-an-aerodynamic-heat-harvest-TEG-consider_2025_Applied-Ther.md
042-The-quantitative-study-of-interfacial-contact-effec_2023_International-Journ,The quantitative study of interfacial contact effects in TEGs by real-topology-based simulations and novel indirect tests,2023,International Journ,83428,42,24,10,295,0.93,False,801\深度拆解_校验版_20260527\papers\042-The-quantitative-study-of-interfacial-contact-effec_2023_International-Journ.md
043-The-unit-cell-method-in-predictions-of-thermal-expansion-pr_2018_Composite-S,The unit cell method in predictions of thermal expansion properties of textile reinforced composites,2018,Composite S,62298,43,24,13,239,0.99,False,801\深度拆解_校验版_20260527\papers\043-The-unit-cell-method-in-predictions-of-thermal-expansion-pr_2018_Composite-S.md
044-Thermoelectric-enhancement-in-perovskite-type-textured-Me0_2024_Chemical-Eng,Thermoelectric enhancement in perovskite type textured Me0.85TiO3 ceramics by synergistic high-entropy and microstructure manipulations,2024,Chemical Eng,49263,72,14,1,148,1.0,False,801\深度拆解_校验版_20260527\papers\044-Thermoelectric-enhancement-in-perovskite-type-textured-Me0_2024_Chemical-Eng.md
045-Tolerance-indicating-models-of-non-thermal-and_2024_International-Journal-of,Tolerance indicating models of non-thermal and thermal damages for a heat transport system,2024,International Journal of,71149,133,26,9,343,1.0,False,801\深度拆解_校验版_20260527\papers\045-Tolerance-indicating-models-of-non-thermal-and_2024_International-Journal-of.md
046-Transcriptome-sequencing-reveals-the-promotion-of-apoptosis-an_2024_Acta-Ast,Transcriptome sequencing reveals the promotion of apoptosis and M1 polarization of microglia under simulated microgravity,2024,Acta Ast,31244,49,9,1,13,1.0,False,801\深度拆解_校验版_20260527\papers\046-Transcriptome-sequencing-reveals-the-promotion-of-apoptosis-an_2024_Acta-Ast.md
047-Unit-cells-of-composites-with-symmetric-structures-for-_2017_Applied-Thermal,047-Unit-cells-of-composites-with-symmetric-structures-for-_2017_Applied-Thermal,2017,Applied Thermal,56715,35,25,11,140,0.99,False,801\深度拆解_校验版_20260527\papers\047-Unit-cells-of-composites-with-symmetric-structures-for-_2017_Applied-Thermal.md
048-Unsteady-aerodynamic-modeling-and-flight-trajectory-simu_2024_Aerospace-Scie,Unsteady aerodynamic modeling and flight trajectory simulation of dual-spin projectile based on DNN and transfer-learning,2024,Aerospace Scie,38195,50,23,8,137,1.0,False,801\深度拆解_校验版_20260527\papers\048-Unsteady-aerodynamic-modeling-and-flight-trajectory-simu_2024_Aerospace-Scie.md
049-Weight-adaptive-parameter-estimation-assisted-event-t_2025_Aerospace-Science,Weight-adaptive parameter estimation assisted event-triggered model predictive guidance for reentry,2025,Aerospace Science,56966,79,27,6,238,0.96,False,801\深度拆解_校验版_20260527\papers\049-Weight-adaptive-parameter-estimation-assisted-event-t_2025_Aerospace-Science.md
